[ 1/30] -> B : fallo (sin fichero, 420s de reloj)
[ 2/30] -> A : fallo (sin fichero, 420s de reloj)
[ 3/30] -> B : fallo (sin fichero, 420s de reloj)
[ 4/30] -> A : reached (20260823_130806_ours_A.json, 131s de reloj)
[ 5/30] -> B : fallo (sin fichero, 420s de reloj)
[ 6/30] -> A : reached (20260823_131721_ours_A.json, 75s de reloj)
[ 7/30] -> B : fallo (sin fichero, 420s de reloj)
[ 8/30] -> A : reached (20260823_132539_ours_A.json, 112s de reloj)
[ 9/30] -> B : fallo (sin fichero, 420s de reloj)
[10/30] -> A : fallo (sin fichero, 420s de reloj)
[11/30] -> B : fallo (sin fichero, 420s de reloj)
[12/30] -> A : reached (20260823_134836_ours_A.json, 115s de reloj)
[13/30] -> B : fallo (sin fichero, 420s de reloj)
[14/30] -> A : fallo (sin fichero, 420s de reloj)
[15/30] -> B : fallo (sin fichero, 420s de reloj)
[16/30] -> A : reached (20260823_141137_ours_A.json, 70s de reloj)
[17/30] -> B : fallo (sin fichero, 420s de reloj)
[18/30] -> A : reached (20260823_141951_ours_A.json, 248s de reloj)
[19/30] -> B : fallo (sin fichero, 420s de reloj)
[20/30] -> A : reached (20260823_143101_ours_A.json, 49s de reloj)
[21/30] -> B : fallo (sin fichero, 420s de reloj)
[22/30] -> A : fallo (sin fichero, 420s de reloj)
[23/30] -> B : fallo (sin fichero, 420s de reloj)
[24/30] -> A : reached (20260823_145256_ours_A.json, 47s de reloj)
[25/30] -> B : fallo (sin fichero, 420s de reloj)
[26/30] -> A : reached (20260823_150046_ours_A.json, 87s de reloj)
[27/30] -> B : fallo (sin fichero, 420s de reloj)
[28/30] -> A : fallo (sin fichero, 420s de reloj)
[29/30] -> B : fallo (sin fichero, 420s de reloj)
[30/30] -> A : reached (20260823_152320_ours_A.json, 54s de reloj)
campana completa: 30 tramos
