file,governance,env,sim_id,mode,condition,result,time_s,path_m,efficiency,collisions,c0min,spills_human,perc_queries,meta_switches,fsm_interventions,meta2_mode,meta2_capped_ticks,meta2_on,meta2_switches,meta2_helps,meta2_fallbacks,meta2_fallback_pct,meta2_help_pct,meta2_cautious_pct,meta2_mean_tension,meta2_mean_fulfillment,mean_clearance,mean_progression,mean_reliability,laser_noise_mean,laser_noise_max,filt_rej_mean,scan_hz,stale_pct,gated_pct,safer_inserts,map_adds,map_dels,obs_max,reloc_jumps,tick_ms_p95,notes
20260626_094353_native_B.json,?,real,,native,,aborted,19.1,2.16,,2,0.9,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,0,,
20260626_105149_ours_B.json,?,real,,ours,,aborted,28.05,2.4,,2,0.17,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,0,,
20260626_181531_native_C.json,?,real,,native,,reached,6.25,2.16,0.95,1,2.5,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,0,,
20260626_181744_native_C.json,?,real,,native,,reached,6.99,2.65,0.94,1,2.5,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,0,,
20260626_191535_native_B.json,?,real,,native,,aborted,13.34,0.0,,0,2.5,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,0,,
20260626_192013_native_B.json,?,real,,native,,aborted,72.63,2.25,,1,0.8,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,0,,
20260626_192204_native_B.json,?,real,,native,,aborted,28.88,2.23,,2,0.76,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,0,,
20260626_192332_ours_B.json,?,real,,ours,,aborted,112.22,13.97,,3,0.05,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,0,,
20260626_192952_ours_B.json,?,real,,ours,,aborted,66.49,9.34,,1,0.25,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,0,,
20260626_193154_ours_B.json,?,real,,ours,,aborted,43.46,7.9,,1,0.28,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,0,,
20260626_194506_ours_B.json,?,real,,ours,,aborted,133.71,20.02,,2,0.05,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,0,,
20260626_195153_ours_B.json,?,real,,ours,,aborted,93.16,8.63,,8,0.05,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,0,,
20260626_195615_ours_B.json,?,real,,ours,,aborted,126.69,16.0,,3,0.06,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,0,,
20260626_200501_ours_B.json,?,real,,ours,,reached,157.77,23.01,0.28,10,0.05,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,0,,
20260629_131326_ours_B.json,?,real,,ours,,aborted,41.89,8.31,,0,0.3,,,0,0,,,,0,0,0,,,,,,0.689,0.339,0.703,0.267,,,,,,,,,,0,,
20260629_132032_ours_B.json,?,real,,ours,,reached,48.18,8.9,0.69,0,0.53,,0,0,0,,,,0,0,0,,,,,,0.804,0.41,0.723,0.241,,,,,,,,,,0,,
20260629_134450_ours_B.json,?,real,,ours,,reached,85.11,15.01,0.42,1,0.07,,202,0,0,,,,0,0,0,,,,,,0.608,0.277,0.756,0.219,,,,,,,,,,0,,
20260629_135449_ours_B.json,?,real,,ours,,reached,124.23,19.05,0.32,0,0.11,,271,0,0,,,,0,0,0,,,,,,0.564,0.214,0.694,0.275,,,,,,,,,,0,,
20260629_144821_ours_B.json,?,real,,ours,,reached,123.34,16.41,0.38,1,0.07,,268,0,0,,,,0,0,0,,,,,,0.505,0.204,0.745,0.213,,,,,,,,,,0,,
20260629_145505_ours_A.json,?,real,,ours,,aborted,70.99,282.32,,0,0.08,,,0,0,,,,0,0,0,,,,,,0.499,0.11,0.65,0.18,,,,,,,,,,28,,
20260629_150630_ours_B.json,?,real,,ours,,reached,79.67,12.97,0.49,0,0.18,,14,0,0,,,,0,0,0,,,,,,0.602,0.278,0.7,0.258,,,,,,,,,,0,,
20260629_151108_ours_B.json,?,real,,ours,,reached,143.28,17.18,0.37,1,0.05,,333,0,0,,,,0,0,0,,,,,,0.463,0.18,0.708,0.246,,,,,,,,,,0,,
20260630_103249_ours_B.json,?,real,,ours,,aborted,192.86,17.68,,1,0.06,0,,0,0,,,,0,0,0,,,,,,0.375,0.086,0.783,0.178,,,,,,,,,,0,,
20260630_110849_ours_B.json,default,real,,ours,,aborted,87.29,11.46,,0,0.13,0,,0,0,,,,0,0,0,,,,,,0.493,0.12,0.755,0.21,,,,,,,,,,0,,
20260630_111207_ours_B.json,default,real,,ours,,aborted,40.9,4.14,,0,0.44,0,,0,0,,,,0,0,0,,,,,,0.533,0.064,0.754,0.202,,,,,,,,,,0,,
20260630_112304_ours_B.json,default,real,,ours,,aborted,59.86,7.12,,0,0.28,0,,0,0,,,,0,0,0,,,,,,0.488,0.062,0.789,0.194,,,,,,,,,,0,,
20260630_112937_ours_B.json,default,real,,ours,,aborted,26.05,3.32,,0,0.38,0,,0,0,,,,0,0,0,,,,,,0.504,0.141,0.755,0.232,,,,,,,,,,0,,
20260630_113829_ours_B.json,default,real,,ours,,aborted,28.26,3.14,,0,0.26,0,,0,0,,,,0,0,0,,,,,,0.431,0.034,0.788,0.193,,,,,,,,,,0,,
20260630_114346_ours_B.json,default,real,,ours,,aborted,19.21,2.5,,0,0.23,0,,0,0,,,,0,0,0,,,,,,0.429,0.207,0.692,0.294,,,,,,,,,,0,,
20260630_114524_ours_B.json,default,real,,ours,,aborted,77.0,8.77,,0,0.05,0,,0,0,,,,0,0,0,,,,,,0.285,0.113,0.795,0.191,,,,,,,,,,0,,
20260630_115405_ours_B.json,default,real,,ours,,aborted,68.45,8.37,,0,0.09,0,,0,0,,,,0,0,0,,,,,,0.307,0.125,0.826,0.158,,,,,,,,,,0,,
20260630_133514_ours_B.json,?,real,,ours,,aborted,41.12,4.71,,0,0.09,,,0,0,,,,0,0,0,,,,,,0.373,0.087,0.813,0.174,,,,,,,,,,0,,
20260630_134458_ours_B.json,?,real,,ours,,aborted,300.72,582.48,,2,0.05,,,0,0,,,,0,0,0,,,,,,0.37,0.111,0.712,0.196,,,,,,,,,,78,,
20260630_135819_ours_B.json,?,real,,ours,,aborted,236.72,25.94,,8,0.05,,,0,0,,,,0,0,0,,,,,,0.267,0.122,0.731,0.189,,,,,,,,,,0,,
20260701_160531_ours_B.json,?,real,,ours,,aborted,18.23,3.38,,0,0.22,,,0,0,,,,0,0,0,,,,,,0.689,0.305,0.693,0.294,,,,,,,,,,0,,
20260701_160802_ours_B.json,?,real,,ours,,aborted,169.1,15.1,,0,0.07,,,0,0,,,,0,0,0,,,,,,0.347,0.065,0.838,0.149,,,,,,,,,,0,,
20260701_162926_ours_B.json,?,real,,ours,,aborted,300.14,30.61,,1,0.05,,,0,0,,,,0,0,0,,,,,,0.307,0.113,0.8,0.175,,,,,,,,,,0,,
20260701_164456_ours_B.json,?,real,,ours,,aborted,73.71,11.06,,2,0.24,,,0,0,,,,0,0,0,,,,,,0.686,0.218,0.616,0.379,,,,,,,,,,0,,
20260702_113327_ours_B.json,?,real,,ours,,reached,71.77,13.24,0.48,0,0.33,,179,0,0,,,,0,0,0,,,,,,0.653,0.298,0.616,0.355,1.0,0.081,2.17,30.5,27.0,234,944,538,421,0,347.3,
20260702_114603_ours_B.json,?,real,,ours,,reached,142.38,20.52,0.31,1,0.21,,320,0,0,,,,0,0,0,,,,,,0.642,0.195,0.653,0.323,1.0,0.071,2.19,31.5,35.7,295,1319,959,369,0,352.2,
20260702_115505_ours_B.json,?,real,,ours,,reached,78.32,15.51,0.41,0,0.46,,185,0,0,,,,0,0,0,,,,,,0.673,0.292,0.58,0.404,1.0,0.069,2.18,31.0,29.0,187,814,442,379,0,353.7,
20260702_115717_ours_A.json,?,real,,ours,,aborted,119.6,13.21,,1,0.25,,,0,0,,,,0,0,0,,,,,,0.549,0.093,0.646,0.259,1.0,0.077,2.17,31.7,29.8,276,875,722,197,0,355.3,
20260702_120438_ours_B.json,?,real,,ours,,reached,83.68,14.18,0.44,1,0.32,,198,0,0,,,,0,0,0,,,,,,0.666,0.273,0.549,0.438,1.0,0.063,2.17,31.6,24.8,215,910,527,417,0,347.0,
20260702_120837_ours_A.json,?,real,,ours,,reached,108.4,18.34,0.35,0,0.27,,264,0,0,,,,0,0,0,,,,,,0.707,0.235,0.564,0.381,1.0,0.071,2.17,30.9,36.7,242,962,556,406,0,348.7,
20260702_122857_ours_B.json,?,real,,ours,,reached,111.91,16.97,0.37,1,0.16,,256,0,0,,,,0,0,0,,,,,,0.629,0.234,0.598,0.379,1.0,0.07,2.2,31.5,31.2,254,974,625,382,0,350.8,
20260702_123315_ours_A.json,?,real,,ours,,aborted,153.45,17.84,,4,0.19,,,0,0,,,,0,0,0,,,,,,0.426,0.115,0.701,0.192,1.0,0.09,2.24,31.6,37.8,299,869,660,248,0,352.2,
20260702_123933_ours_B.json,?,real,,ours,,aborted,120.3,15.69,,1,0.21,,,0,0,,,,0,0,0,,,,,,0.51,0.171,0.661,0.314,1.0,0.083,2.23,31.3,33.7,263,1053,772,404,0,355.2,
20260702_125209_ours_B.json,?,real,,ours,,aborted,56.68,7.59,,0,0.19,,,0,0,,,,0,0,0,,,,,,0.492,0.164,0.77,0.223,1.0,0.062,2.21,30.3,43.3,115,586,219,382,0,351.4,
20260702_130231_ours_B.json,?,real,,ours,,reached,84.11,13.01,0.49,0,0.21,,174,0,0,,,,0,0,0,,,,,,0.535,0.279,0.674,0.307,1.0,0.064,2.17,31.9,21.1,254,979,588,455,0,359.3,
20260702_130524_ours_A.json,?,real,,ours,,aborted,56.77,5.95,,0,0.26,,,0,0,,,,0,0,0,,,,,,0.4,0.068,0.785,0.105,0.844,0.06,2.16,31.7,54.4,218,571,366,218,0,348.6,
20260702_142725_ours_B.json,?,real,,ours,,reached,70.29,11.68,0.53,0,0.38,,163,0,0,,,,0,0,0,,,,,,0.639,0.302,0.61,0.347,1.0,0.064,2.17,31.1,17.1,75,812,388,447,0,359.8,
20260702_143039_ours_A.json,?,real,,ours,,aborted,54.35,7.67,,1,0.3,,,0,0,,,,0,0,0,,,,,,0.565,0.113,0.71,0.197,0.771,0.059,2.19,31.0,49.1,49,422,246,192,0,358.3,
20260702_143511_ours_B.json,?,real,,ours,,aborted,42.47,8.34,,0,0.34,,,0,0,,,,0,0,0,,,,,,0.742,0.344,0.687,0.297,1.0,0.072,2.18,31.1,34.8,49,554,202,369,0,347.1,
20260702_143646_ours_B.json,?,real,,ours,,aborted,67.41,11.57,,0,0.45,,,0,0,,,,0,0,0,,,,,,0.676,0.248,0.658,0.335,1.0,0.065,2.25,30.7,31.6,56,676,312,393,0,354.6,
20260702_144028_ours_B.json,?,real,,ours,,aborted,25.63,3.76,,0,0.53,,,0,0,,,,0,0,0,,,,,,0.879,0.139,0.745,0.249,1.0,0.058,2.19,30.9,55.6,1,342,52,290,0,351.4,
20260702_144720_ours_B.json,?,real,,ours,,aborted,41.66,7.74,,1,0.28,,,0,0,,,,0,0,0,,,,,,0.674,0.347,0.746,0.248,1.0,0.062,2.17,30.8,21.5,30,556,172,384,0,356.8,
20260702_145010_ours_B.json,?,real,,ours,,reached,87.02,13.97,0.45,0,0.38,,199,0,0,,,,0,0,0,,,,,,0.615,0.262,0.622,0.357,1.0,0.064,2.17,30.9,26.9,99,933,544,418,0,361.4,
20260702_145306_ours_A.json,?,real,,ours,,aborted,140.92,16.66,,1,0.18,,,0,0,,,,0,0,0,,,,,,0.501,0.104,0.722,0.168,0.861,0.063,2.2,31.2,50.3,145,770,562,211,0,354.9,
20260702_150212_ours_B.json,?,real,,ours,,reached,124.99,17.01,0.38,1,0.24,,252,0,0,,,,0,0,0,,,,,,0.555,0.202,0.693,0.287,1.0,0.066,2.15,32.3,30.0,117,1149,823,393,0,353.0,
20260702_150440_ours_A.json,?,real,,ours,,aborted,65.68,8.03,,2,0.11,,,0,0,,,,0,0,0,,,,,,0.431,0.15,0.731,0.182,1.0,0.062,2.2,31.7,44.2,47,544,338,206,0,358.9,
20260702_152030_ours_B.json,?,real,,ours,,aborted,65.81,9.17,,1,0.22,,,0,0,,,,0,0,0,,,,,,0.689,0.236,0.686,0.302,1.0,0.056,2.13,32.4,21.4,63,703,316,408,0,349.2,
20260702_152330_ours_B.json,?,real,,ours,,reached,83.61,12.93,0.48,1,0.36,,197,0,0,,,,0,0,0,,,,,,0.762,0.26,0.567,0.399,1.0,0.065,2.18,30.3,25.0,122,901,493,443,0,356.0,
20260702_152532_ours_A.json,?,real,,ours,,reached,81.64,14.15,0.42,1,0.25,,181,0,0,,,,0,0,0,,,,,,0.82,0.262,0.622,0.308,1.0,0.062,2.18,31.5,37.3,79,616,245,371,0,351.4,
20260702_164913_ours_B.json,?,real,,ours,,reached,94.53,13.5,0.46,1,0.26,,219,0,0,,,,0,0,0,,,,,,0.697,0.236,0.649,0.336,1.0,0.054,2.19,30.4,18.2,105,892,555,378,0,373.1,
