t,dist,holg_izq,holg_der,e_lat,e_rumbo_deg,v,w,n_front,modo,holg_verdad
0.08,0.0,0.44270475289965927,0.5388682383665194,-0.1386678290249325,0.08558008208907114,0.024,-0.25,0,vano,nan
0.17,0.0,0.44179518191591083,0.5388682383665194,-0.14010379714739224,0.09482201030265901,0.024,-0.25,0,vano,nan
0.27,0.0,0.4373065361395885,0.538279641679071,-0.14091525203306957,0.2427316743982959,0.024,-0.25,0,vano,nan
0.37,0.0,0.4416655226124533,0.537893584430532,-0.14110985130532688,0.4429277864479643,0.024,-0.25,0,vano,nan
0.47,0.002,0.44329748246920164,0.5395261812317147,-0.1408042329707216,0.7079490224626177,0.024,-0.25,0,vano,nan
0.57,0.005,0.4456261691986657,0.5395261812317147,-0.14020182927130612,1.0310727795400105,0.024,-0.25,0,vano,nan
0.98,0.015,0.45727785659604536,0.5428449047168182,-0.1339950718164793,2.8490488012053135,0.024,-0.25,0,vano,nan
1.07,0.017,0.46278379232419603,0.5752143933794959,-0.13351361643666004,3.608662841272419,0.024,-0.25,0,vano,nan
1.17,0.019,0.46508365508997696,0.5874456081620357,-0.1301104992725259,4.375131314638094,0.024,-0.25,0,vano,nan
1.27,0.021,0.46520755300566563,0.5896858510113305,-0.11843420088576807,4.538340475117007,0.024,-0.25,0,vano,nan
1.37,0.024,0.4614229123576395,0.5958019582874018,-0.10702477736530201,4.622750978474876,0.024,-0.25,0,vano,nan
1.47,0.027,0.46344433849802147,0.6001523175126633,-0.09632593255537533,4.837105676634772,0.024,-0.25,0,vano,nan
1.59,0.028,0.4556506170174164,0.6076652735668221,-0.08871729732326966,5.216580405926861,0.024,-0.25,0,vano,nan
1.68,0.029,0.4577344691705373,0.6178196398322732,-0.08275359666176538,5.366490339839505,0.024,-0.25,0,vano,nan
1.78,0.03,0.4560674188693242,0.6221656586838396,-0.07748412135380112,5.626128507435148,0.024,-0.25,0,vano,nan
1.87,0.03,0.44886342010814273,0.6265479833465942,-0.07319975294302619,5.847078900909788,0.024,-0.25,0,vano,nan
2.17,0.029,0.44536340563146515,0.6339840332109613,-0.0698527064857554,7.196204419819821,0.024,-0.25,0,vano,nan
2.28,0.029,0.43623372256392834,0.6358943097384598,-0.0663842876701044,7.443895930454379,0.024,-0.25,0,vano,nan
2.37,0.028,0.4407985915100464,0.6367408747597919,-0.06418401442189789,7.759897725831153,0.024,-0.25,0,vano,nan
2.47,0.027,0.43799691435735744,0.6387865258010534,-0.06234449662372343,8.314237379779325,0.024,-0.25,0,vano,nan
2.58,0.025,0.43060858991439277,0.6396079844243848,-0.060858917383972144,8.784916792991732,0.024,-0.25,0,vano,nan
2.68,0.025,0.42771222899069805,0.6422845624970888,-0.059027179006655744,9.143947826002773,0.024,-0.25,0,vano,nan
2.77,0.024,0.42319984185082127,0.6446412745443516,-0.05720887357375287,9.626169158078177,0.024,-0.25,0,vano,nan
2.88,0.024,0.42476091963944157,0.6440923658959782,-0.055646679075000066,10.161706898917759,0.024,-0.23478724716189436,0,vano,nan
2.97,0.023,0.42476091963944157,0.6466413025208317,-0.056321323761865744,10.675004352012916,0.024,-0.22742095344576796,0,vano,nan
3.07,0.021,0.4173063544974182,0.6439424007543219,-0.05666716379449138,11.381185033842332,0.024,-0.21204574672154597,0,vano,nan
3.37,0.019,0.40698348399346523,0.6467756396830306,-0.05768688656777443,12.979173126715303,0.024,-0.17938802123864606,0,vano,nan
4.18,0.016,0.3886049951652033,0.6465237712058649,-0.05839307416333003,16.48238770054792,0.024,-0.0940297665228027,0,memoria,nan
4.27,0.016,0.39318948116342434,0.6465996123622751,-0.05839922850948995,16.817694196371963,0.024,-0.08530685210506073,0,memoria,nan
4.77,0.02,0.383392218564145,0.6413962162493378,-0.05713435962077776,17.86161341266,0.024,-0.04659329093305342,0,memoria,nan
4.87,0.021,0.3830273726882458,0.6415360521138532,-0.05670146370679882,18.022086636414134,0.024,-0.03849604853354416,0,memoria,nan
4.98,0.023,0.3808621498685428,0.646181604920429,-0.05598264441884515,18.136953540290953,0.024,-0.029019466430627583,0,memoria,nan
5.29,0.031,0.3852830488180139,0.6463943618222229,-0.05353741792105318,18.712046572870346,0.024,0.008043472435184218,0,memoria,nan
5.38,0.032,0.3829428226145148,0.6413962162493378,-0.052959014132523435,18.831362963532772,0.024,0.016372802334934655,0,memoria,nan
5.47,0.035,0.3829427663740349,0.6413962162493378,-0.0522243639483089,19.034900315693484,0.024,0.028313249411858976,0,memoria,nan
5.58,0.036,0.3900649963125778,0.6413962162493378,-0.051634642236581874,19.1310546984292,0.024,0.036138060670843686,0,memoria,nan
5.87,0.043,0.38314508772923717,0.6413962162493378,-0.049351720573029695,19.255395426297028,0.024,0.05993958828624313,0,memoria,nan
6.18,0.031,0.3859679071337774,0.6513924478039882,-0.0533578188134026,18.658118076438395,0.024,0.008248019668958162,0,memoria,nan
6.28,0.032,0.38351512210550426,0.6413961566582183,-0.05314918223606829,18.678833098897947,0.024,0.010668066884782557,0,memoria,nan
6.38,0.032,0.3806585033781145,0.6463943022311032,-0.053111079944154205,18.644619447013124,0.024,0.010115276200227341,0,memoria,nan
6.48,0.032,0.3806180907004256,0.646181604920429,-0.05309724027986032,18.62965121572138,0.024,0.009847965800010905,0,memoria,nan
6.58,0.032,0.3713112320487582,0.6413962162493378,-0.053049212901634835,18.618068722090367,0.024,0.009976983229861569,0,memoria,nan
6.67,0.032,0.3830273726882458,0.646181604920429,-0.05291775134253765,18.60369340763071,0.024,0.010783792409240434,0,memoria,nan
6.78,0.033,0.3782635867261903,0.6465348754249401,-0.052622946731470804,18.598586443676865,0.024,0.013303333905179016,0,memoria,nan
6.88,0.035,0.3759607040800373,0.6508923356511895,-0.05203450269348986,18.539028030371515,0.024,0.017040094632844616,0,memoria,nan
7.17,0.041,0.3829427663740349,0.6465349350248509,-0.04995982088484552,18.48141959780485,0.024,0.03420404567284163,0,memoria,nan
7.27,0.044,0.3829427663740349,0.6466033138620217,-0.04921111586201757,18.474357210706835,0.024,0.04075749801642703,0,memoria,nan
7.37,0.046,0.3782635867261903,0.6504864461432537,-0.04852406223233649,18.393219410925994,0.024,0.04481679805255723,0,memoria,nan
7.47,0.048,0.3876289461809314,0.6466033734662124,-0.04778916453801141,18.398828297429567,0.024,0.0515777176067701,0,memoria,nan
7.57,0.05,0.38314508772923717,0.6504864461432537,-0.047120214279236156,18.275086170536067,0.024,0.05435870862917902,0,memoria,nan
7.67,0.052,0.38098997559540965,0.6465996123622751,-0.04657014207660051,18.284982837662774,0.024,0.05956845259240229,0,memoria,nan
7.77,0.054,0.38572319584514564,0.6463757961331724,-0.04586448103972396,18.222879887364932,0.024,0.06429355048744156,0,memoria,nan
7.87,0.056,0.38535846598257756,0.6454933032762507,-0.0451330683940053,18.13400266032034,0.024,0.06854946393595351,0,memoria,nan
7.97,0.058,0.3857231389645336,0.6504864461432537,-0.04457827653040908,18.126394075823693,0.024,0.0733433984319955,0,memoria,nan
8.07,0.061,0.38535852247002633,0.6463758557231348,-0.04380778423347187,18.00149288818544,0.024,0.07700792365852216,0,memoria,nan
8.17,0.063,0.3900650528768079,0.6416004494953966,-0.042971015143337316,17.956333469327415,0.024,0.0833565746486935,0,memoria,nan
8.27,0.066,0.39046200628281935,0.6416003898914374,-0.042168757385042804,17.860188614869298,0.024,0.08805982806962687,0,memoria,nan
8.37,0.068,0.3900649963125778,0.6465238308050812,-0.04148486671730581,17.739654393314463,0.024,0.09105926553806953,0,memoria,nan
8.47,0.071,0.3878649996496953,0.6454992662475826,-0.04074732876070933,17.665353078661802,0.024,0.09575190327856398,0,memoria,nan
8.57,0.073,0.3973225291125888,0.6413778072189081,-0.03990855993348219,17.511810641890882,0.024,0.09928109112882655,0,memoria,nan
8.67,0.076,0.3947778050771177,0.6411588638788848,-0.03906664793068462,17.26118405288748,0.024,0.1,0,memoria,nan
8.77,0.079,0.39949661336898046,0.6450628625588699,-0.03819508068191524,17.123832067122162,0.024,0.1,0,memoria,nan
8.87,0.082,0.4111574027963905,0.6405057561174691,-0.03739627084180261,16.982864481062165,0.024,0.1,0,memoria,nan
8.97,0.083,0.40422126565919386,0.6445544950644992,-0.03745859920468947,16.877879795204194,0.024,0.10473446693100391,0,vano,nan
9.07,0.085,0.40895161624442294,0.6433218494142302,-0.03756895676412625,16.778885890256127,0.024,0.10114959452494782,0,vano,nan
9.17,0.087,0.40895161624442294,0.6454992067124394,-0.03819919823536319,16.66007461192892,0.024,0.09236694929084555,0,vano,nan
9.27,0.09,0.4158810518642055,0.6400717601952728,-0.03739607178365978,16.497090836936945,0.024,0.09532818210476701,0,memoria,nan
9.77,0.105,0.4231745674651408,0.6418016429480244,-0.03326723121563305,15.443646283865595,0.024,0.1,0,memoria,nan
9.87,0.107,0.43707938078940883,0.6359643998462835,-0.03258660356821369,15.22908326562304,0.024,0.1,0,memoria,nan
10.17,0.115,0.44164555921517296,0.6340240329310117,-0.028925994585951104,14.4499473940171,0.024,0.11796478687479917,0,vano,nan
10.28,0.117,0.44511678886461675,0.6317988018983778,-0.02653091321311274,14.210600778074957,0.024,0.13325443947779936,0,vano,nan
10.57,0.125,0.45618782479145126,0.6279286427386394,-0.023154221348900356,13.222183138294586,0.024,0.1377679529572727,0,vano,nan
10.87,0.134,0.45938414039622166,0.6085294597105085,-0.01879994750836994,11.932275544526874,0.024,0.14318671568546032,0,vano,nan
10.97,0.136,0.4667075898111163,0.6164283382168053,-0.0164637719700238,11.609002458135532,0.024,0.15574902591965611,0,vano,nan
11.07,0.137,0.46652325320009636,0.6145050021550756,-0.013762050548539295,11.345576601485682,0.024,0.17316804591287693,0,vano,nan
11.17,0.139,0.46201213086825615,0.6125118398657496,-0.011603046945370066,11.125360138173772,0.024,0.1868338248135648,0,vano,nan
11.27,0.141,0.46636290841390077,0.6125118398657496,-0.00961038235690706,10.933663268322013,0.024,0.19974919379271147,0,vano,nan
11.37,0.141,0.46671867915180176,0.6096487090059909,-0.008433924569186013,10.67945714906424,0.024,0.20368221324255265,0,vano,nan
11.47,0.143,0.4620120713056343,0.6056142680943617,-0.005759010509639617,10.334317376820023,0.024,0.2187207016706028,0,vano,nan
11.57,0.143,0.46698957836767424,0.6083171085021659,-0.00535508318522121,10.088692580655422,0.024,0.21592560546395018,0,vano,nan
11.67,0.144,0.4662711598520598,0.6104491759076128,-0.005051256531947684,9.811476291869285,0.024,0.21140253987419558,0,vano,nan
11.77,0.146,0.46671867915180176,0.6061157990245777,-0.004846521981810209,9.505189976948339,0.024,0.20522659385167677,0,vano,nan
12.08,0.151,0.46671867915180176,0.6015061826288981,-0.003922635630156268,8.763285728792022,0.024,0.194118563219271,0,vano,nan
12.17,0.153,0.467335680053169,0.6015061255455373,-0.002908509087476724,8.570442686194589,0.024,0.19819708305405362,0,vano,nan
12.27,0.155,0.46328268678394036,0.6035738481548203,-0.0030885042219741254,8.34256401048026,0.024,0.19061127706412775,0,vano,nan
12.37,0.156,0.46698951880416106,0.59909811044808,-0.002681477051222264,8.133945135045643,0.024,0.18881289221368155,0,vano,nan
12.47,0.159,0.46522813720807443,0.5966215510600624,-0.0023924140634470903,7.906498761872981,0.024,0.18545992697828412,0,vano,nan
12.57,0.16,0.46522813720807443,0.5954460358992392,-0.0023347843879984453,7.7025394768559,0.024,0.18063895246197953,0,vano,nan
12.67,0.162,0.46236025348933024,0.5918594970452582,-0.0014610084086973119,7.540000455936548,0.024,0.18424767465867378,0,vano,nan
12.78,0.163,0.46278379232419603,0.5918595538215419,-0.0007748118257897285,7.368474031758547,0.024,0.18593289262072424,0,vano,nan
12.88,0.166,0.46106965659836036,0.5918595538215419,-0.0009393540982975401,7.189723810874487,0.024,0.17977234232851297,0,vano,nan
12.97,0.167,0.4583123278040912,0.5914023673204046,-0.0008964063345208162,6.996399424489201,0.024,0.1750976516022721,0,vano,nan
13.07,0.17,0.45972033628997233,0.4984352453100606,-0.0005711625877326265,6.714902026882846,0.024,0.17065526068732603,0,vano,nan
13.17,0.172,0.45888935393462504,0.4984352453100606,-0.0007184184810367089,6.3719756068546,0.024,0.1603521649652344,0,vano,nan
13.27,0.174,0.4581255111938022,0.494271493240945,-0.0007841178009138916,6.081571112979518,0.024,0.15215809921527793,0,vano,nan
13.38,0.177,0.4564310346455669,0.49115050709897967,-0.0001440698620391867,5.75241784973891,0.024,0.14930131838430194,0,vano,nan
13.47,0.178,0.45699490358452377,0.4883249227981246,0.00042164515105691525,5.507880773440089,0.024,0.14799078781524433,0,vano,nan
13.58,0.18,0.4545783044292704,0.48144050438620695,0.0013250368614463603,5.219256075905353,0.024,0.14856513629691848,0,vano,nan
