array('d', [46.866406250000004, -0.18671875000000002, -45.4193359375, -0.56015625])
array('d', [46.6796875, 0.6068359375, -45.092578125, 0.046679687500000004])
array('d', [47.053125, -0.42011718750000004, -45.4193359375, 0.7468750000000001])
array('d', [47.566601562500004, 0.09335937500000001, -45.466015625000004, 0.1400390625])
array('d', [46.959765625, -0.42011718750000004, -44.672460937500006, 0.1400390625])
array('d', [46.959765625, -0.42011718750000004, -45.4193359375, 1.1669921875])
array('d', [46.586328125, 0.09335937500000001, -44.62578125, 0.1400390625])
array('d', [47.1931640625, 0.09335937500000001, -44.62578125, 0.1400390625])
array('d', [46.586328125, 0.2333984375, -45.092578125, 0.1400390625])
array('d', [46.866406250000004, -0.42011718750000004, -45.839453125000006, -0.2333984375])
array('d', [46.773046875000006, -0.09335937500000001, -46.2595703125, 0.09335937500000001])
array('d', [46.773046875000006, 0.6068359375, -45.0458984375, 0.466796875])
array('d', [46.773046875000006, 0.6068359375, -45.0458984375, 0.466796875])
array('d', [47.566601562500004, -0.280078125, -45.839453125000006, -0.280078125])
array('d', [47.566601562500004, -0.280078125, -45.0458984375, 1.0736328125])
array('d', [46.866406250000004, -0.280078125, -45.0458984375, 0.1400390625])
array('d', [46.866406250000004, -0.280078125, -45.0458984375, 0.1400390625])
array('d', [47.333203125000004, 0.09335937500000001, -46.212890625, -0.2333984375])
array('d', [47.333203125000004, 0.09335937500000001, -46.212890625, -0.2333984375])
array('d', [46.8197265625, 0.09335937500000001, -45.092578125, 0.09335937500000001])
array('d', [46.8197265625, 0.09335937500000001, -45.092578125, 0.09335937500000001])
array('d', [46.8197265625, 0.09335937500000001, -45.092578125, 0.09335937500000001])
array('d', [46.4462890625, 0.2333984375, -45.092578125, -0.56015625])
array('d', [47.519921875, 0.3267578125, -45.0458984375, 0.5134765625000001])
array('d', [46.6796875, -0.42011718750000004, -45.0458984375, 0.1400390625])
array('d', [47.1931640625, -0.09335937500000001, -45.0458984375, 0.09335937500000001])
array('d', [46.773046875000006, 0.0, -44.25234375, 0.7468750000000001])
array('d', [47.053125, -0.09335937500000001, -45.466015625000004, 0.7468750000000001])
array('d', [47.053125, -0.09335937500000001, -45.466015625000004, 0.7468750000000001])
array('d', [47.053125, -0.09335937500000001, -45.466015625000004, 0.1400390625])
array('d', [46.586328125, 0.2333984375, -45.466015625000004, 0.1400390625])
array('d', [46.773046875000006, -0.09335937500000001, -45.466015625000004, -0.5134765625000001])
array('d', [46.773046875000006, -0.09335937500000001, -45.466015625000004, -0.5134765625000001])
array('d', [47.053125, 0.09335937500000001, -45.466015625000004, -0.56015625])
array('d', [47.3798828125, 0.09335937500000001, -45.839453125000006, -0.280078125])
array('d', [47.006445312500006, 0.42011718750000004, -45.4193359375, 0.5134765625000001])
array('d', [47.053125, 0.2333984375, -44.672460937500006, 0.466796875])
array('d', [47.053125, 0.42011718750000004, -45.8861328125, -0.5134765625000001])
array('d', [47.333203125000004, 0.42011718750000004, -45.8861328125, -0.280078125])
array('d', [47.333203125000004, 0.42011718750000004, -45.8861328125, -0.280078125])
array('d', [47.333203125000004, 0.42011718750000004, -45.8861328125, -0.280078125])
array('d', [47.053125, 0.09335937500000001, -45.092578125, 0.1400390625])
array('d', [46.866406250000004, 0.09335937500000001, -43.972265625000006, 1.2603515625000001])
array('d', [46.773046875000006, -0.280078125, -43.972265625000006, 1.2603515625000001])
array('d', [47.053125, 0.09335937500000001, -40.984765625, 1.9138671875000002])
array('d', [46.773046875000006, -0.09335937500000001, -39.117578125, 4.9947265625])
array('d', [46.773046875000006, 0.3267578125, -36.503515625, 7.888867187500001])
array('d', [47.519921875, 0.3267578125, -36.503515625, 7.888867187500001])
array('d', [46.773046875000006, -0.6068359375, -34.6830078125, 10.316210937500001])
array('d', [46.773046875000006, 0.2333984375, -30.9953125, 13.210351562500001])
array('d', [47.1931640625, -0.280078125, -27.541015625, 16.337890625])
array('d', [46.212890625, -0.6068359375, -25.720507812500003, 18.951953125])
array('d', [46.212890625, -0.7001953125, -24.366796875000002, 18.4384765625])
array('d', [44.8591796875, -0.7001953125, -25.020312500000003, 20.445703125])
array('d', [44.065625000000004, -2.0072265625, -25.020312500000003, 20.445703125])
array('d', [41.965039062500004, -2.7541015625000003, -20.258984375, 24.133398437500002])
array('d', [41.171484375000006, -3.734375, -18.85859375, 25.300390625000002])
array('d', [41.171484375000006, -3.734375, -16.8046875, 26.2806640625])
array('d', [42.0583984375, -2.0539062500000003, -16.8046875, 26.2806640625])
array('d', [42.38515625, -1.587109375, -16.898046875000002, 28.94140625])
array('d', [41.6849609375, -2.6140625, -14.750781250000001, 29.408203125])
array('d', [41.6849609375, -2.6140625, -14.750781250000001, 29.408203125])
array('d', [41.264843750000004, -4.1078125000000005, -12.276757812500001, 31.788867187500003])
array('d', [39.02421875, -5.4615234375, -9.1025390625, 33.889453125])
array('d', [36.6435546875, -5.41484375, -8.215625000000001, 34.16953125])
array('d', [36.6435546875, -5.41484375, -8.215625000000001, 34.16953125])
array('d', [36.6435546875, -5.41484375, -8.215625000000001, 34.16953125])
array('d', [36.6435546875, -5.41484375, -8.215625000000001, 34.16953125])
array('d', [35.2431640625, -7.1419921875000005, -8.682421875000001, 35.429882812500004])
array('d', [32.9091796875, -9.709375, -7.6087890625000005, 35.429882812500004])
array('d', [32.9091796875, -9.709375, -7.6087890625000005, 35.429882812500004])
array('d', [33.3759765625, -11.38984375, -4.761328125, 37.90390625])
array('d', [29.734960937500002, -12.9302734375, -5.0414062500000005, 38.9775390625])
array('d', [29.734960937500002, -12.9302734375, -3.5009765625, 40.2845703125])
array('d', [28.661328125, -13.723828125, -3.5009765625, 40.2845703125])
array('d', [28.334570312500002, -12.8369140625, -1.7271484375000001, 40.237890625])
array('d', [28.19453125, -13.4904296875, -1.6804687500000002, 40.984765625])
array('d', [28.19453125, -13.4904296875, -0.7001953125, 41.965039062500004])
array('d', [26.0939453125, -15.87109375, -0.7001953125, 41.965039062500004])
array('d', [24.2734375, -16.3845703125, 1.6337890625, 43.038671875000006])
array('d', [23.199804687500002, -17.73828125, 2.5207031250000003, 45.092578125])
array('d', [23.199804687500002, -17.73828125, 2.5207031250000003, 45.092578125])
array('d', [23.199804687500002, -17.73828125, 2.5207031250000003, 45.092578125])
array('d', [19.8388671875, -20.3056640625, 2.1005859375, 44.5791015625])
array('d', [18.391796875, -22.452929687500003, 0.9802734375000001, 43.505468750000006])
array('d', [18.391796875, -22.452929687500003, 0.9802734375000001, 41.171484375000006])
array('d', [15.917773437500001, -22.452929687500003, 0.9802734375000001, 41.171484375000006])
array('d', [15.917773437500001, -22.452929687500003, 0.9802734375000001, 41.171484375000006])
array('d', [15.917773437500001, -22.452929687500003, 0.9802734375000001, 41.171484375000006])
array('d', [13.8638671875, -26.8408203125, -2.42734375, 37.250390625])
array('d', [13.8638671875, -26.8408203125, -2.42734375, 40.0044921875])
array('d', [12.696875, -27.44765625, -0.466796875, 40.0044921875])
array('d', [12.696875, -27.44765625, -0.466796875, 40.0044921875])
array('d', [10.783007812500001, -28.8947265625, -0.2333984375, 40.2845703125])
array('d', [10.362890625, -30.2484375, 0.5134765625000001, 41.7783203125])
array('d', [8.869140625, -29.734960937500002, 0.9802734375000001, 42.478515625])
array('d', [8.869140625, -29.734960937500002, 0.9802734375000001, 41.638281250000006])
array('d', [10.409570312500001, -27.867773437500002, 1.3537109375, 41.638281250000006])
array('d', [10.9697265625, -29.688281250000003, 1.9138671875000002, 42.338476562500006])
array('d', [10.9697265625, -28.474609375, -0.2333984375, 39.7244140625])
array('d', [10.9697265625, -28.474609375, -0.2333984375, 39.7244140625])
array('d', [8.1689453125, -28.7080078125, -0.93359375, 39.164257812500004])
array('d', [8.40234375, -28.7080078125, -0.93359375, 39.164257812500004])
array('d', [7.562109375, -31.368750000000002, -1.4470703125000002, 37.810546875])
array('d', [6.3951171875, -31.0419921875, -2.42734375, 37.2037109375])
array('d', [6.3951171875, -31.0419921875, -3.17421875, 36.78359375])
array('d', [5.8349609375, -30.855273437500003, -3.17421875, 36.78359375])
array('d', [4.8080078125000005, -31.088671875000003, -4.3412109375000005, 34.35625])
array('d', [4.8080078125000005, -31.088671875000003, -4.3412109375000005, 34.35625])
array('d', [3.734375, -32.115625, -6.16171875, 32.955859375])
array('d', [4.6212890625, -32.769140625, -7.888867187500001, 32.30234375])
array('d', [4.6212890625, -32.769140625, -7.888867187500001, 32.3490234375])
array('d', [4.1078125000000005, -31.8822265625, -6.068359375, 32.3490234375])
array('d', [3.5009765625, -33.1892578125, -7.0486328125, 32.208984375])
array('d', [3.5009765625, -33.1892578125, -8.3556640625, 32.67578125])
array('d', [3.1275390625000004, -32.9091796875, -8.3556640625, 31.9755859375])
array('d', [10.45625, -23.900000000000002, 0.18671875000000002, 37.4837890625])
array('d', [9.7560546875, -23.33984375, -0.046679687500000004, 37.4837890625])
array('d', [10.316210937500001, -23.993359375, -0.5134765625000001, 38.697460937500004])
array('d', [9.4759765625, -25.720507812500003, -0.7935546875, 36.5501953125])
array('d', [9.4759765625, -17.4115234375, 5.0880859375, 47.333203125000004])
array('d', [-1.213671875, -17.4115234375, 5.0880859375, 50.9275390625])
array('d', [-6.8619140625, -20.1189453125, 11.483203125000001, 50.9275390625])
array('d', [-11.4365234375, -25.487109375000003, 15.217578125000001, 52.5146484375])
array('d', [-15.684375000000001, -28.754687500000003, 16.0578125, 56.0623046875])
array('d', [-20.5390625, -28.754687500000003, 16.0578125, 56.0623046875])
array('d', [-20.5390625, -28.754687500000003, 16.0578125, 56.0623046875])
array('d', [-20.5390625, -31.9755859375, 19.60546875, 58.5830078125])
array('d', [-26.5607421875, -39.7244140625, 23.1064453125, 62.270703125000004])
array('d', [-34.029492187500004, -45.74609375, 26.000585937500002, 67.03203125])
array('d', [-34.029492187500004, -45.74609375, 26.000585937500002, 67.03203125])
array('d', [-38.9775390625, -49.900585937500004, 31.4154296875, 71.13984375])
array('d', [-44.25234375, -52.701367187500004, 33.4693359375, 72.96035156250001])
array('d', [-44.25234375, -52.701367187500004, 33.4693359375, 77.9083984375])
array('d', [-44.25234375, -55.968945312500004, 37.530468750000004, 77.9083984375])
array('d', [-54.2884765625, -59.18984375, 38.8841796875, 80.9892578125])
array('d', [-54.2884765625, -60.496875, 43.972265625000006, 82.06289062500001])
array('d', [-85.0037109375, -55.875585937500006, 45.7927734375, 98.0740234375])
array('d', [-89.8583984375, -58.302929687500004, 48.080078125, 101.24824218750001])
array('d', [-95.5533203125, -60.4501953125, 49.760546875, 104.655859375])
array('d', [-100.26796875000001, -59.609960937500006, 50.1806640625, 107.9234375])
array('d', [-100.26796875000001, -57.5560546875, 50.133984375000004, 110.9576171875])
array('d', [-107.08320312500001, -57.69609375, 50.0873046875, 114.2251953125])
array('d', [-116.0923828125, -56.669140625000004, 51.674414062500006, 117.3994140625])
array('d', [-122.1140625, -58.25625, 52.561328125, 121.55390625000001])
array('d', [-125.66171875, -56.809179687500006, 51.254296875, 123.18769531250001])
array('d', [-131.169921875, -53.4482421875, 51.254296875, 123.18769531250001])
array('d', [-133.410546875, -51.4876953125, 44.065625000000004, 127.248828125])
array('d', [-134.6708984375, -47.706640625000006, 42.2451171875, 130.9365234375])
array('d', [-134.7642578125, -40.611328125, 38.1373046875, 130.9365234375])
array('d', [-134.7642578125, -40.611328125, 38.1373046875, 131.0765625])
array('d', [-134.5775390625, -35.2431640625, 32.955859375, 133.13046875])
array('d', [-133.3638671875, -36.830273437500004, 29.921679687500003, 134.95097656250002])
array('d', [-133.7373046875, -42.1517578125, 30.855273437500003, 135.18437500000002])
array('d', [-133.7373046875, -46.959765625, 26.0939453125, 134.1107421875])
array('d', [-134.157421875, -46.959765625, 30.388476562500003, 134.5775390625])
array('d', [-134.157421875, -47.239843750000006, 30.388476562500003, 134.5775390625])
array('d', [-134.8109375, -41.3115234375, 30.901953125000002, 133.7373046875])
array('d', [-133.690625, -36.6435546875, 32.30234375, 133.597265625])
array('d', [-133.690625, -36.6435546875, 33.7494140625, 134.71757812500002])
array('d', [-134.48417968750002, -36.03671875, 33.7494140625, 134.71757812500002])
array('d', [-133.410546875, -40.331250000000004, 35.943359375, 133.7373046875])
array('d', [-134.157421875, -44.999218750000004, 35.4765625, 133.55058593750002])
array('d', [-134.157421875, -44.999218750000004, 35.4765625, 133.55058593750002])
array('d', [-133.55058593750002, -45.559375, 36.41015625, 134.2974609375])
array('d', [-133.78398437500002, -46.3529296875, 39.0708984375, 133.55058593750002])
array('d', [-133.78398437500002, -46.3529296875, 39.0708984375, 133.78398437500002])
array('d', [-134.99765625, -45.559375, 36.9703125, 133.78398437500002])
array('d', [-133.410546875, -43.4587890625, 37.1103515625, 133.31718750000002])
array('d', [-134.48417968750002, -44.672460937500006, 38.7908203125, 134.157421875])
array('d', [-134.48417968750002, -44.672460937500006, 35.383203125, 134.157421875])
array('d', [-134.48417968750002, -44.672460937500006, 35.383203125, 134.157421875])
array('d', [-134.48417968750002, -44.672460937500006, 35.383203125, 134.157421875])
array('d', [-133.31718750000002, -41.5916015625, 35.383203125, 134.157421875])
array('d', [-134.2974609375, -39.677734375, 34.7763671875, 133.3638671875])
array('d', [-134.2974609375, -38.0439453125, 34.35625, 134.25078125000002])
array('d', [-134.2974609375, -38.0439453125, 34.35625, 134.25078125000002])
